_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16
1,42,Elijah Morgan,76,Body Wash,Bath and Body,card,2,5.99,2024-12-25T17:06:18.000-08:00,Canada,Ottawa,www.chemistdirect.co.uk,22951203,1,payment successful
2,44,Jackson Murphy,111,Laxatives,Digestive Health and Nausea,card,1,6.99,2024-02-12T03:20:56.000-08:00,Australia,Adelaide,www.cvs.com,36693913,0,card expired
3,42,Elijah Morgan,16,Teeth Whitening Strips,Oral Care,card,6,19.99,2024-10-29T18:31:54.000-07:00,Canada,Ottawa,www.riteaid.com,55263249,1,payment successful
4,5,Emily Davis,18,Tongue Cleaner,Oral Care,wallet,3,2.49,2024-04-23T07:52:16.000-07:00,Germany,Berlin,www.walgreens.com,79014933,1,payment successful
5,7,Sophia Martinez,127,Insulin Syringes,Diabetes Management,internet banking,9,19.99,2024-12-30T01:01:53.000-08:00,Spain,Madrid,www.expresspharmacy.co.uk,16010190,1,payment successful
6,2,Jane Smith,126,Diabetes Test Strips,Diabetes Management,wallet,3,25.99,2024-12-25T21:25:47.000-08:00,Canada,Toronto,www.walgreens.com,30606791,1,payment successful
7,37,Lily Sanchez,50,Mustache Wax,Shaving and Grooming,wallet,1,5.49,2024-02-08T14:02:05.000-08:00,Spain,Valencia,www.alldaychemist.com,98811306,1,payment successful
8,36,Samuel Stewart,134,Back Support Belt,Supports and Braces,card,5,19.99,2024-09-05T17:15:13.000-07:00,France,Toulouse,www.cvs.com,93788683,1,payment successful
9,14,Liam Walker,133,Elbow Support,Supports and Braces,wallet,9,11.99,2024-03-16T18:38:41.000-07:00,Australia,Melbourne,www.goodrx.com,91211538,1,payment successful
10,3,Alice Johnson,47,Beard Trimmer,Shaving and Grooming,wallet,2,19.99,2024-10-07T02:45:50.000-07:00,United Kingdom,London,www.cvs.com,69032635,1,payment successful
11,19,Amelia Scott,79,Body Butter,Bath and Body,wallet,9,8.99,2024-09-30T20:13:03.000-07:00,Netherlands,Rotterdam,www.riteaid.com,14948812,1,payment successful
12,3,Alice Johnson,61,Sunscreen Lotion,Sun Care,wallet,9,15.99,2024-09-04T10:26:03.000-07:00,United Kingdom,London,www.walgreens.com,19055347,1,payment successful
13,9,Olivia Thomas,2,Lubricating Eye Drops,Eye Care,wallet,1,9.99,2024-12-15T13:08:29.000-08:00,Netherlands,Amsterdam,www.riteaid.com,53669717,1,payment successful
14,44,Jackson Murphy,48,Shaving Gel,Shaving and Grooming,wallet,2,3.49,2024-12-30T10:07:15.000-08:00,Australia,Adelaide,www.mysmartpharmacy.com,95659905,1,payment successful
15,37,"",68,Bed Protection Underpads,----////----,wallet,7,15.99,2024-08-06T04:10:48.000-07:00,XXXXXXXX,Valencia,www.amazon.com/pharmacy,85793352,1,ROGUEROGUE
16,11,Mia Harris,41,Shaving Cream,Shaving and Grooming,upi,9,3.99,2024-09-17T23:05:30.000-07:00,United States of America,Los Angeles,www.expresspharmacy.co.uk,79522882,0,payment method not accepted at merchant
17,42,Elijah Morgan,4,Allergy Relief Eye Drops,Eye Care,wallet,8,7.99,2024-12-30T03:26:39.000-08:00,Canada,Ottawa,www.safeway.com/pharmacy,37571998,1,payment successful
18,42,Elijah Morgan,76,Body Wash,Bath and Body,wallet,1,5.99,2024-05-04T17:57:59.000-07:00,Canada,Ottawa,www.walgreens.com,97628280,1,payment successful
19,37,Lily Sanchez,133,Elbow Support,Supports and Braces,wallet,4,11.99,2024-07-20T15:11:13.000-07:00,Spain,Valencia,www.amazon.com/pharmacy,19432231,1,payment successful
20,9,Olivia Thomas,57,Hearing Aid Wax Guards,Hearing Devices and Amplifiers,wallet,8,570.0,2024-12-17T00:25:37.000-08:00,Netherlands,Amsterdam,www.healthmart.com,95239970,1,payment successful
21,48,Luke Richardson,117,Ovulation Test,Home Tests and Monitoring,card,1,14.99,2024-12-29T02:16:08.000-08:00,Italy,Florence,www.chemistdirect.co.uk,49894313,1,payment successful
22,9,Olivia Thomas,116,Glucose Meter,Home Tests and Monitoring,wallet,4,24.99,2024-12-20T10:53:50.000-08:00,Netherlands,Amsterdam,www.1mg.com,92296775,1,payment successful
23,36,Samuel Stewart,138,Calf Support,Supports and Braces,card,9,9.99,2024-08-21T02:09:22.000-07:00,France,Toulouse,www.iherb.com,87324740,1,payment successful
24,9,Olivia Thomas,9,Contact Lens Disinfecting Solution,Eye Care,internet banking,4,22.99,2024-08-13T05:00:57.000-07:00,Netherlands,Amsterdam,www.walgreens.com,49875236,1,payment successful
25,11,Mia Harris,94,Cold and Flu Tea,"Cough, Cold, and Flu",wallet,6,5.49,2024-05-25T00:12:15.000-07:00,United States of America,Los Angeles,www.britishpharmacy.co.uk,16704469,1,payment successful
26,38,Mason Morris,118,Cholesterol Test Kit,Home Tests and Monitoring,internet banking,2,19.99,2024-08-05T11:43:56.000-07:00,Italy,Turin,www.expresspharmacy.co.uk,19584952,1,payment successful
27,35,Chloe Collins,19,Orthodontic Wax,Oral Care,wallet,3,1.99,2024-11-28T13:41:35.000-08:00,Germany,Hamburg,www.cvs.com,92951633,1,payment successful
28,40,Logan Reed,26,Hair Serum,Hair Care,internet banking,8,9.99,2024-11-08T10:59:49.000-08:00,Japan,Nagoya,www.pharmacytimes.com,47606184,1,payment successful
29,33,Scarlett Evans,65,Lip Balm with SPF,Sun Care,upi,2,4.99,2024-05-21T07:30:45.000-07:00,United Kingdom,Liverpool,www.chemistwarehouse.com.au,41248297,1,payment successful
30,48,Luke Richardson,122,Skin Rash Cream,Skin Ailments,wallet,2,7.99,2024-04-16T17:00:05.000-07:00,Italy,Florence,www.britishpharmacy.co.uk,57272158,1,payment successful
31,42,Elijah Morgan,51,Hearing Aid,Hearing Devices and Amplifiers,card,8,510.0,2024-10-30T01:48:05.000-07:00,Canada,Ottawa,www.walgreens.com,53510579,1,payment successful
