order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,9,Olivia Thomas,147,Groin Support,Supports and Braces,card,8,13.99,2024-07-14T20:05:31.000-07:00,Netherlands,Amsterdam,www.drugstore.com,22213098,1,payment successful
2,40,Logan Reed,41,Shaving Cream,Shaving and Grooming,wallet,9,3.99,2024-11-25T06:19:50.000-08:00,Japan,Nagoya,www.chemistwarehouse.com.au,98348310,1,payment successful
3,22,Alexander Baker,30,Leave-in Conditioner,Hair Care,wallet,9,7.49,2024-08-02T22:05:43.000-07:00,Canada,Montreal,www.riteaid.com,55955144,1,payment successful
4,16,Noah Allen,125,Acne Treatment Gel,Skin Ailments,wallet,6,8.99,2024-02-13T10:35:38.000-08:00,France,Lyon,www.expresspharmacy.co.uk,71014582,1,payment successful
5,23,----////----,125,Acne Treatment Gel,ROGUEROGUE,wallet,3,8.99,2024-12-07T20:40:39.000-08:00,XXXXXXXX,Birmingham,www.walgreens.com,70641109,1,----////----
6,21,Harper Adams,6,Eye Wash,Eye Care,card,2,5.49,2024-04-11T14:00:29.000-07:00,United States of America,Chicago,www.healthmart.com,63947773,0,card expired
7,22,Alexander Baker,42,Razor,Shaving and Grooming,card,5,5.99,2024-11-20T02:59:16.000-08:00,Canada,Montreal,www.drugstore.com,91629644,1,payment successful
8,47,Madison Cooper,44,Beard Oil,Shaving and Grooming,wallet,1,6.99,2024-05-06T11:46:30.000-07:00,Spain,Bilbao,www.pharmacytimes.com,24612575,1,payment successful
9,23,Evelyn Gonzalez,96,Pain Relief Cream,Pain Relief and Management,internet banking,1,12.99,2024-12-15T09:38:23.000-08:00,United Kingdom,Birmingham,www.safeway.com/pharmacy,58312664,1,payment successful
10,24,Daniel Nelson,7,Lens Wipes,Eye Care,wallet,3,11.99,2024-04-15T19:37:05.000-07:00,Australia,Brisbane,www.1mg.com,32765879,1,payment successful
11,26,Henry Mitchell,44,Beard Oil,Shaving and Grooming,wallet,3,6.99,2024-11-11T07:09:39.000-08:00,France,Marseille,www.1mg.com,16032774,1,payment successful
12,43,Sofia Bell,107,Burn Gel,First Aid,wallet,7,7.99,2024-07-27T21:07:58.000-07:00,United Kingdom,Leeds,www.walmart.com/pharmacy,44536260,1,payment successful
13,27,Victoria Perez,14,Dental Floss,Oral Care,card,9,2.79,2024-08-04T22:11:51.000-07:00,Spain,Seville,www.iherb.com,71880393,1,payment successful
14,25,Grace Carter,30,Leave-in Conditioner,Hair Care,wallet,8,7.49,2024-02-27T22:39:00.000-08:00,Germany,Frankfurt,www.walgreens.com,94989608,1,payment successful
15,48,Luke Richardson,100,Pain Relief Tablets,Pain Relief and Management,card,8,8.99,2024-01-01T01:50:54.000-08:00,Italy,Florence,www.riteaid.com,49466272,1,payment successful
16,27,Victoria Perez,44,Beard Oil,Shaving and Grooming,wallet,2,6.99,2024-09-16T11:20:24.000-07:00,Spain,Seville,www.walgreens.com,53486756,1,payment successful
17,6,David Wilson,97,Pain Relief Patch,Pain Relief and Management,wallet,5,14.99,2024-11-06T16:40:27.000-08:00,France,Paris,www.chemistwarehouse.com.au,58752067,1,payment successful
18,27,"",88,Flu Relief Tablets,ROGUEROGUE,wallet,1,9.99,2024-05-01T02:45:28.000-07:00,"",Seville,www.alldaychemist.com,64523011,1,ROGUEROGUE
19,2,Jane Smith,35,Foot Soak,Foot Care,wallet,2,4.99,2024-01-27T14:45:02.000-08:00,Canada,Toronto,www.goodrx.com,39660052,1,payment successful
20,37,Lily Sanchez,42,Razor,Shaving and Grooming,card,6,5.99,2024-12-10T14:44:31.000-08:00,Spain,Valencia,www.chemistwarehouse.com.au,51791550,1,payment successful
21,16,Noah Allen,131,Ankle Support,Supports and Braces,card,9,12.99,2024-01-26T20:33:54.000-08:00,France,Lyon,www.walgreens.com,29245116,1,payment successful
22,23,Evelyn Gonzalez,110,Antacid Tablets,Digestive Health and Nausea,card,5,4.99,2024-12-12T13:42:13.000-08:00,United Kingdom,Birmingham,www.cvs.com,97974968,1,payment successful
