order_id,customer_id,customer_name,product_id,product_name,product_category,payment_type,qty,price,datetime,country,city,ecommerce_website_name,payment_txn_id,payment_txn_success,failure_reason
1,4,Michael Brown,66,Adult Diapers,Incontinence,card,7,12.99,2024-05-04T04:58:05.000-07:00,Australia,Sydney,www.iherb.com,82429599,1,payment successful
2,46,Dylan Rivera,147,Groin Support,Supports and Braces,card,7,13.99,2024-05-27T08:02:04.000-07:00,France,Nice,www.walgreens.com,65357024,1,payment successful
3,14,Liam Walker,9,Contact Lens Disinfecting Solution,Eye Care,wallet,9,22.99,2024-04-15T12:42:15.000-07:00,Australia,Melbourne,www.cvs.com,17666219,1,payment successful
4,16,Noah Allen,13,Mouthwash,Oral Care,wallet,6,3.49,2024-09-06T13:36:32.000-07:00,France,Lyon,www.medicalnewstoday.com/pharmacy,45633789,1,payment successful
5,31,Ella Campbell,77,Body Lotion,Bath and Body,card,7,6.99,2024-12-21T23:10:53.000-08:00,United States of America,Houston,www.britishpharmacy.co.uk,82244490,1,payment successful
6,30,Matthew Phillips,135,Shoulder Support,Supports and Braces,card,1,14.99,2024-11-20T11:00:32.000-08:00,Japan,Kyoto,www.pharmacytimes.com,85697768,0,payment method not accepted at merchant
7,17,Charlotte Young,22,Conditioner,Hair Care,card,4,6.99,2024-02-05T20:14:36.000-08:00,Spain,Barcelona,www.iherb.com,51948839,1,payment successful
8,44,Jackson Murphy,31,Foot Cream,Foot Care,card,8,8.99,2024-09-18T23:50:32.000-07:00,Australia,Adelaide,www.walgreens.com,99752916,1,payment successful
9,33,Scarlett Evans,89,Cough Drops,"Cough, Cold, and Flu",wallet,9,3.99,2024-10-18T20:35:40.000-07:00,United Kingdom,Liverpool,www.chemistwarehouse.com.au,83991915,1,payment successful
10,30,Matthew Phillips,64,Sunscreen Spray,Sun Care,wallet,7,14.99,2024-10-15T22:34:58.000-07:00,Japan,Kyoto,www.cvs.com,49342674,1,payment successful
