_1,_2,_3,_4,_5,_6,_7,_8,_9,_10,_11,_12,_13,_14,_15,_16
1,41,Abigail Cook,129,Glucose Tablets,Diabetes Management,card,2,4.99,2024-05-24T00:00:30.000-07:00,United States of America,Phoenix,www.healthmart.com,39595876,1,payment successful
2,21,Harper Adams,82,Nasal Spray,"Ear, Nose, and Throat Care",wallet,1,7.99,2024-03-05T11:19:24.000-08:00,United States of America,Chicago,www.pillpack.com,45899783,1,payment successful
3,26,Henry Mitchell,80,Shower Gel,Bath and Body,upi,5,4.99,2024-09-07T09:23:27.000-07:00,France,Marseille,www.iherb.com,12539281,1,payment successful
4,49,Hannah Cox,24,Hair Spray,Hair Care,wallet,8,7.99,2024-07-01T00:15:13.000-07:00,Netherlands,Eindhoven,www.walgreens.com,67468981,1,payment successful
5,43,Sofia Bell,40,Foot Massager,Foot Care,card,6,19.99,2024-12-28T11:07:19.000-08:00,United Kingdom,Leeds,www.pillpack.com,45838043,1,payment successful
6,11,Mia Harris,88,Flu Relief Tablets,"Cough, Cold, and Flu",card,6,9.99,2024-12-05T11:20:47.000-08:00,United States of America,Los Angeles,www.goodrx.com,27746409,1,payment successful
7,44,Jackson Murphy,144,Maternity Support Belt,Supports and Braces,wallet,3,19.99,2024-09-11T17:25:19.000-07:00,Australia,Adelaide,www.1mg.com,17295417,1,payment successful
8,12,Ethan Clark,139,Compression Socks,Supports and Braces,card,5,12.99,2024-11-02T00:00:33.000-07:00,Canada,Vancouver,www.cvs.com,74698852,1,payment successful
9,18,William King,81,Ear Drops,"Ear, Nose, and Throat Care",card,6,8.99,2024-04-03T10:44:41.000-07:00,Italy,Milan,www.pillpack.com,49246101,1,payment successful
10,1,John Doe,150,Hip Support,Supports and Braces,card,2,17.99,2024-12-04T02:56:59.000-08:00,United States of America,New York,www.chemistwarehouse.com.au,49791183,1,payment successful
11,13,Ava Lewis,95,Vapor Inhaler,"Cough, Cold, and Flu",wallet,6,4.49,2024-03-27T13:38:25.000-07:00,United Kingdom,Manchester,www.goodrx.com,29000318,1,payment successful
12,44,Jackson Murphy,53,Hearing Aid Batteries,Hearing Devices and Amplifiers,internet banking,6,530.0,2024-05-12T17:14:19.000-07:00,Australia,Adelaide,www.riteaid.com,23450976,0,insufficient credit
13,50,----////----,86,Cough Syrup,----////----,wallet,9,8.99,2024-08-12T00:06:26.000-07:00,----////----,Fukuoka,www.riteaid.com,56701876,1,----////----
14,26,"",44,Beard Oil,XXXXXXXX,card,3,6.99,2024-09-03T16:19:56.000-07:00,"",Marseille,www.1mg.com,11440997,1,XXXXXXXX
15,36,Samuel Stewart,44,Beard Oil,Shaving and Grooming,card,4,6.99,2024-06-24T07:50:04.000-07:00,France,Toulouse,www.walgreens.com,84231404,1,payment successful
16,49,Hannah Cox,50,Mustache Wax,Shaving and Grooming,wallet,2,5.49,2024-01-12T06:30:58.000-08:00,Netherlands,Eindhoven,www.cvs.com,26236892,1,payment successful
17,46,Dylan Rivera,101,Adhesive Bandages,First Aid,wallet,1,3.99,2024-05-26T01:51:53.000-07:00,France,Nice,www.cvs.com,91617284,1,payment successful
18,34,Jack Edwards,83,Throat Lozenges,"Ear, Nose, and Throat Care",card,9,5.99,2024-08-23T01:52:44.000-07:00,Australia,Perth,www.alldaychemist.com,41604356,1,payment successful
19,22,Alexander Baker,12,Toothbrush,Oral Care,wallet,8,1.99,2024-10-21T05:13:55.000-07:00,Canada,Montreal,www.pillpack.com,36980471,1,payment successful
20,41,Abigail Cook,121,Nicotine Lozenges,Stop Smoking,card,4,19.99,2024-10-10T15:35:45.000-07:00,United States of America,Phoenix,www.goodrx.com,15376631,1,payment successful
21,24,Daniel Nelson,12,Toothbrush,Oral Care,upi,8,1.99,2024-10-21T06:18:20.000-07:00,Australia,Brisbane,www.cvs.com,56385166,1,payment successful
22,20,Benjamin Green,72,Tampons,Feminine Care,wallet,2,6.99,2024-06-09T06:54:43.000-07:00,Japan,Osaka,www.chemistdirect.co.uk,80218410,1,payment successful
23,3,Alice Johnson,79,Body Butter,Bath and Body,internet banking,2,8.99,2024-09-05T04:01:16.000-07:00,United Kingdom,London,www.1mg.com,59389098,1,payment successful
24,26,Henry Mitchell,53,Hearing Aid Batteries,Hearing Devices and Amplifiers,card,2,530.0,2024-08-01T09:05:57.000-07:00,France,Marseille,www.expresspharmacy.co.uk,85855021,1,payment successful
25,2,Jane Smith,45,Shaving Brush,Shaving and Grooming,card,6,7.99,2024-07-15T17:45:03.000-07:00,Canada,Toronto,www.healthmart.com,61003699,0,billing address incorrect
26,13,Ava Lewis,64,Sunscreen Spray,Sun Care,card,4,14.99,2024-02-25T17:03:31.000-08:00,United Kingdom,Manchester,www.cvs.com,51794467,1,payment successful
27,13,Ava Lewis,2,Lubricating Eye Drops,Eye Care,wallet,1,9.99,2024-05-06T04:56:02.000-07:00,United Kingdom,Manchester,www.chemistdirect.co.uk,26473351,1,payment successful
28,36,Samuel Stewart,72,Tampons,Feminine Care,card,4,6.99,2024-03-23T17:09:50.000-07:00,France,Toulouse,www.amazon.com/pharmacy,21215008,0,insufficient funds
29,15,Isabella Hall,9,Contact Lens Disinfecting Solution,Eye Care,upi,2,22.99,2024-02-22T16:44:11.000-08:00,Germany,Munich,www.safeway.com/pharmacy,80781059,1,payment successful
30,34,Jack Edwards,79,Body Butter,Bath and Body,wallet,2,8.99,2024-12-02T16:16:28.000-08:00,Australia,Perth,www.healthmart.com,64215705,1,payment successful
31,11,Mia Harris,121,Nicotine Lozenges,Stop Smoking,wallet,6,19.99,2024-09-13T01:37:53.000-07:00,United States of America,Los Angeles,www.walgreens.com,97540002,0,insufficient funds
32,10,Lucas Taylor,85,Sinus Rinse,"Ear, Nose, and Throat Care",card,9,9.99,2024-05-27T02:08:08.000-07:00,Japan,Tokyo,www.cvs.com,10389655,1,payment successful
33,15,Isabella Hall,98,Pain Relief Spray,Pain Relief and Management,card,3,9.99,2024-05-13T22:03:57.000-07:00,Germany,Munich,www.britishpharmacy.co.uk,68018413,1,payment successful
34,12,Ethan Clark,89,Cough Drops,"Cough, Cold, and Flu",card,6,3.99,2024-10-30T15:50:59.000-07:00,Canada,Vancouver,www.walgreens.com,80252620,1,payment successful
35,32,Aiden Parker,40,Foot Massager,Foot Care,card,4,19.99,2024-04-16T19:28:58.000-07:00,Canada,Calgary,www.drugstore.com,79230258,1,payment successful
36,45,Avery Bailey,108,Digestive Enzymes,Digestive Health and Nausea,wallet,9,14.99,2024-10-03T02:14:46.000-07:00,Germany,Cologne,www.walmart.com/pharmacy,29922851,1,payment successful
37,12,Ethan Clark,68,Bed Protection Underpads,Incontinence,card,1,15.99,2024-08-24T13:17:00.000-07:00,Canada,Vancouver,www.walgreens.com,10126412,1,payment successful
38,39,Zoe Rogers,52,Hearing Amplifier,Hearing Devices and Amplifiers,wallet,7,520.0,2024-10-13T21:51:09.000-07:00,Netherlands,The Hague,www.goodrx.com,98234909,1,payment successful
39,39,Zoe Rogers,15,Denture Cleaner,Oral Care,wallet,8,4.99,2024-08-03T08:50:49.000-07:00,Netherlands,The Hague,www.healthmart.com,34156517,1,payment successful
40,13,Ava Lewis,10,Contact Lens Case,Eye Care,wallet,9,16.0,2024-01-16T15:04:29.000-08:00,United Kingdom,Manchester,www.alldaychemist.com,57617932,1,payment successful
41,12,Ethan Clark,86,Cough Syrup,"Cough, Cold, and Flu",wallet,3,8.99,2024-06-11T22:23:17.000-07:00,Canada,Vancouver,www.medicalnewstoday.com/pharmacy,79534344,1,payment successful
42,13,Ava Lewis,64,Sunscreen Spray,Sun Care,card,2,14.99,2024-04-08T21:10:20.000-07:00,United Kingdom,Manchester,www.iherb.com,88508127,1,payment successful
43,46,Dylan Rivera,75,Feminine Wipes,Feminine Care,wallet,4,3.99,2024-02-24T08:26:28.000-08:00,France,Nice,www.drugstore.com,72456177,0,insufficient credit
44,34,Jack Edwards,24,Hair Spray,Hair Care,wallet,9,7.99,2024-09-24T17:32:54.000-07:00,Australia,Perth,www.walgreens.com,27398927,0,payment method not accepted at merchant
45,47,Madison Cooper,100,Pain Relief Tablets,Pain Relief and Management,card,4,8.99,2024-03-30T08:37:42.000-07:00,Spain,Bilbao,www.walgreens.com,51735671,1,payment successful
46,41,Abigail Cook,70,Incontinence Wipes,Incontinence,card,5,5.99,2024-08-22T19:13:18.000-07:00,United States of America,Phoenix,www.alldaychemist.com,50471876,1,payment successful
47,5,Emily Davis,5,Eye Patch,Eye Care,wallet,3,6.99,2024-06-02T10:12:19.000-07:00,Germany,Berlin,www.amazon.com/pharmacy,52433957,1,payment successful
48,5,Emily Davis,60,Hearing Aid Dehumidifier,Hearing Devices and Amplifiers,wallet,7,600.0,2024-12-27T15:25:19.000-08:00,Germany,Berlin,www.healthmart.com,95042611,1,payment successful
49,41,Abigail Cook,131,Ankle Support,Supports and Braces,upi,8,12.99,2024-03-24T17:48:04.000-07:00,United States of America,Phoenix,www.walgreens.com,46890216,1,payment successful
50,40,Logan Reed,40,Foot Massager,Foot Care,wallet,6,19.99,2024-12-20T21:33:39.000-08:00,Japan,Nagoya,www.walgreens.com,32600904,1,payment successful
51,50,Gabriel Howard,80,Shower Gel,Bath and Body,wallet,3,4.99,2024-12-04T15:56:17.000-08:00,Japan,Fukuoka,www.pharmacytimes.com,91187930,1,payment successful
52,4,Michael Brown,85,Sinus Rinse,"Ear, Nose, and Throat Care",wallet,8,9.99,2024-11-21T19:16:22.000-08:00,Australia,Sydney,www.healthmart.com,46473122,1,payment successful
53,50,Gabriel Howard,28,Hair Mask,Hair Care,card,9,12.99,2024-09-18T08:32:10.000-07:00,Japan,Fukuoka,www.goodrx.com,47951676,1,payment successful
54,6,David Wilson,40,Foot Massager,Foot Care,card,9,19.99,2024-05-05T09:17:36.000-07:00,France,Paris,www.drugstore.com,93926437,0,bank refused to authorize transaction
55,45,Avery Bailey,112,Anti-Nausea Liquid,Digestive Health and Nausea,upi,9,8.99,2024-12-18T06:32:52.000-08:00,Germany,Cologne,www.cvs.com,26781059,1,payment successful
56,45,Avery Bailey,43,Aftershave,Shaving and Grooming,card,1,4.99,2024-03-09T19:11:06.000-08:00,Germany,Cologne,www.cvs.com,94861595,1,payment successful
57,7,Sophia Martinez,12,Toothbrush,Oral Care,wallet,6,1.99,2024-03-15T16:29:57.000-07:00,Spain,Madrid,www.expresspharmacy.co.uk,76971899,1,payment successful
58,37,Lily Sanchez,7,Lens Wipes,Eye Care,card,2,11.99,2024-12-21T23:36:58.000-08:00,Spain,Valencia,www.pharmacytimes.com,28605652,1,payment successful
59,7,Sophia Martinez,26,Hair Serum,Hair Care,wallet,2,9.99,2024-10-18T20:53:17.000-07:00,Spain,Madrid,www.cvs.com,59278204,1,payment successful
60,1,John Doe,36,Foot File,Foot Care,wallet,7,3.99,2024-05-13T05:38:38.000-07:00,United States of America,New York,www.walgreens.com,30116168,1,payment successful
61,29,Aria Turner,59,Hearing Aid Clips,Hearing Devices and Amplifiers,wallet,8,590.0,2024-05-15T22:41:22.000-07:00,Netherlands,Utrecht,www.walgreens.com,97317258,1,payment successful
62,2,Jane Smith,124,Psoriasis Treatment,Skin Ailments,wallet,2,12.99,2024-03-31T23:55:52.000-07:00,Canada,Toronto,www.medicalnewstoday.com/pharmacy,59277721,1,payment successful
63,6,David Wilson,77,Body Lotion,Bath and Body,card,1,6.99,2024-12-13T12:44:36.000-08:00,France,Paris,www.walgreens.com,81398887,0,billing address incorrect
64,19,Amelia Scott,131,Ankle Support,Supports and Braces,wallet,5,12.99,2024-11-07T20:36:49.000-08:00,Netherlands,Rotterdam,www.1mg.com,18155864,1,payment successful
65,27,Victoria Perez,146,Hernia Belt,Supports and Braces,card,4,24.99,2024-12-08T23:43:22.000-08:00,Spain,Seville,www.walmart.com/pharmacy,60037060,1,payment successful
66,32,Aiden Parker,118,Cholesterol Test Kit,Home Tests and Monitoring,wallet,6,19.99,2024-12-08T15:33:14.000-08:00,Canada,Calgary,www.walmart.com/pharmacy,81076565,1,payment successful
67,26,Henry Mitchell,125,Acne Treatment Gel,Skin Ailments,card,2,8.99,2024-04-11T01:39:15.000-07:00,France,Marseille,www.cvs.com,58812234,1,payment successful
